,Tên Việt Nam,Tên Khoa học,Bộ,Lớp,Họ,Ngành,Dạng sống,Sinh cảnh,Bộ phận dùng,Công dụng,
92,Điều nhuộm,Bixa orellana L.,ĐIều nhuộm Bixales ,Ngọc lan,Bixacae ĐIều nhuộm ,Ngọc Lan Magnoliophyta,Thân gỗ,Vườn nhà,Hạt và lá ,"Haạ nhiệt, lỵ, tẩy giun",
93,Đinh lăng,Polyscias fruticosa (L.) Harms ,Hoa tán Apiales,Ngọc Lan,Araliaceae Nhân sâm ,Ngọc Lan Magnoliophyta,Thân gỗ,Vườn nhà,Cả cây,"làm thuốc bổ, trị suy nhược cơ thể, tiêu hoá kém, phụ nữ sau khi đẻ ít sữa, sản hậu huyết xông nhức mỏi. Còn dùng làm thuốc chữa ho, ho ra máu, thông tiểu tiện, chữa kiết lỵ. Thân và cành dùng chữa phong thấp, đau lưng. Lá dùng chữa cảm sốt, mụn nhọt sưng tấy, sưng vú",
94,Đỗ trọng tía,Euonymus Chinensis L.,Long đởm Gentianales,Ngọc Lan,Celastraceae Chân danh ,Ngọc Lan Magnoliophyta,Thân bụi,Rừng,Thân,"Thuốc bổ, chữa suy nhược cơ thể, mạnh gân xương, chữa tiểu đường, di tinh, giúp tiêu hoá.",
95,Đơn buốt,Bidens pilosa L.,Cúc Asterales ,Ngọc lan,Asteraceae Cúc ,Ngọc Lan Magnoliophyta,Thân thảo,"vườn nhà, rừng trồng, rừng",Cả cây,đau mắt. Một số nơi dùng hoa ngâm rượu ngậm trong trường hợp bị Đau răng.,
96,Đơn Châu Chấu,"Aralia armata (Wall), Seem",Hoa tán Apiales,Ngọc Lan,Araliaceae Nhân sâm ,Ngọc Lan Magnoliophyta,Thân bụi,"vườn nhà, rừng trồng, rừng","Rễ, vỏ rễ và lá ","Viêm họng, chữa phong thấp tê bại, sốt rét cơn và rắn cắn.  thuốc bổ. đắp mụn nhọt.   ",
97,Đơn nem,Maesa perlarius ( Lour.) Merr ,Anh thảo Primunales,Ngọc Lan,Myrsinaceae Đơm nem ,Ngọc Lan Magnoliophyta,Thân bụi,"vườn nhà, đồi núi","lá, thân",Trị gẫy xương,
98,Đơn núi,"Maesa montana A. DC., ",Đơn nem Myrsinaceae,Ngọc Lan,Myrsinaceae Đơm nem ,Ngọc Lan Magnoliophyta,Thân thảo,sườn đồi,lá,"chữa dị ứng, mẩn ngứa, ghẻ lở ",
99,Đồng tiền,"Phyllodium pulchellum (L,) Desv ",Đậu Fabales,Ngọc lan,Fabaceae Ðậu  ,Ngọc Lan Magnoliophyta,Thân thảo,"vườn nhà, rừng trồng, rừng",Rễ và lá ,"Cảm mạo phát sốt, viêm gan, xơ gan, thấp khớp đau xương, đòn ngã tổn thương.",
100,Đu đủ đực,Carica papaya L.,Cải Brassicales,Ngọc Lan,Caricaceae Đu đủ  ,Ngọc Lan Magnoliophyta,Thân thảo,Vườn nhà,"Quả, hạt, hoa đực, lá, rễ, nhựa ","Chữa đái rắt, đái buốt, đau niệu đạo, chữa tưa lưỡi ở trẻ, chữa rắn cắn:",
101,Dứa,Ananas sativa L,Lúa Poales,Hành,Bromeliaceae Dứa ,Ngọc Lan Magnoliophyta,Thân thảo,Vườn nhà,"Quả, nõn cây và rễ cây ","Khó tiêu, viêm ruột, nóng",
102,Dừa,Cocos nucifera L.,Cau Arecales,Hành,Arecaceae Cau ,Ngọc Lan Magnoliophyta,Thân gỗ,Vườn nhà,"Nước dừa, rễ và dầu, hoa ","Dạ dày, viêm gan, đái tháo đường, cầm máu, lợi tiểu",
103,Dừa  cạn ,Catharanthus roseus (L.) G. Don ,Long đởm Gentianales,Ngọc lan,Apocynaceae Trúc đào ,Ngọc Lan Magnoliophyta,Thân thảo,Vườn nhà,Cả cây,"Chữa cao huyết áp, lợi tiểu, chống ung thư",
104,dứa dại,Pandanus tectorius Sol.,Dứa dại Pandanales,Hành,Pandanaceae Dứa dại ,Ngọc Lan Magnoliophyta,Thân thảo,"Ven rừng, suối","Ngọn non, rễ, quả.","Chữa chứng đái rắt, lòi dom, lợi tiểu, mất ngủ.",
106,Dướng,Broussonetia papyrifera (L.) Lher. ex Vent.,Gai Urticales ,Ngọc Lan,Moraceae Dâu tằm ,Ngọc Lan Magnoliophyta,Thân bụi,"Ven rừng, rừng trồng, vườn nhà",Quả,"Lợi tiểu tiêu sưng, sát trùng",
107,Gấc,Momordica cochinchinensis (Lour) Spreng,Bầu bí Cucurbitales,Ngọc Lan,Cucurbitaceae Bầu bí ,Ngọc Lan Magnoliophyta,Dây leo,Vườn nhà,"Hạt, dầu gấc","Làm thuốc bổ, chữa khô mắt, quáng gà, vết bỏng,  mụn nhọt, tê thấp",
108,Gai,Boehmeria nivea (L) Gaud.,Gai Urticales ,Ngọc lan,Urticaceae Gai ,Ngọc Lan Magnoliophyta,Thân bụi,Ven rừng,Rễ ,"Chữa đau bụng động thai, dọa sẩy, lợi tiểu, đi tiểu ra máu",
109,Găng,Catunaregam tomentosa (Bulume ex DC) Tirving ,Long đởm Gentianales,Ngọc lan,Rubiaceae Cà phê  ,Ngọc Lan Magnoliophyta,Dây leo,Rừng,"lá, quả","giải nhiệt nhiệt, chữa đái vàng, đái dắt, sôi bụngchữa viêm lợi răng",
110,Gáo trắng,Neolamarckia cadamba ( Roxb.) Bosser,Long đởm Gentianales,Ngọc lan,Rubiaceae Cà phê  ,Ngọc Lan Magnoliophyta,Thân thảo,Vườn nhà,Lá và vỏ cây ,chống viêm,
111,Giảo cổ Lam,Gynostemma pentaphyllum (Thunb.) Makino,Bầu bí Cucurbitales,Ngọc Lan,Cucurbitaceae Bầu bí ,Ngọc Lan Magnoliophyta,Dây leo,Rừng,lá,"Bổ dưỡng, viêm khí quản, gan, thận, loét dạ dày, giải độc, chữa ho, chống béo phì.",
112,"Giẻ,dù dẻ",Desmos chinensis Lour.,Na Annales,Ngọc Lan,Annonaceae Na  ,Ngọc Lan Magnoliophyta,thân gỗ,rừng,"Lá, rễ.","lỵ, tiêu hóa, dạ dày, thận, khớp",
113,Gừng dại,Zingiber cassumunar Roxb.,Gừng Zingiberales,Hành,Zingiberaceae Gừng  ,Ngọc Lan Magnoliophyta,Thân thảo,"vườn, suối",Củ,,
114,Hà Thủ Ô Trắng,Streptocaulon juventas (Lour.) Merr.,Long đởm Gentianales ,Ngọc lan,Asclepiadaceae Thiên lý ,Ngọc Lan Magnoliophyta,Dây leo,Ven suối,Rễ củ ,"Thanh nhiệt, giải độc, chữa sốt rét, nóng",
115,Hồ vĩ,Sansevieria zeylanica Willd. ,Thùa Avagales,hành,Dracaenaceae Bồng bồng  ,Ngọc Lan Magnoliophyta,thân bụi,vườn nhà,Rễ,"Dùng chữa sốt nóng, khát nước, đái buốt. ",
116,Hoa gạo,Gossampinus malabarica (DC). Merr.,Bông Mavales,Ngọc lan,Bombaceae Gạo ,Ngọc Lan Magnoliophyta,Thân gỗ,vườn nhà,"vỏ, hoa, rễ","Thuốc cầm máu, chữa lậu, thông tiểu, đau răng",
117,Hoa sữa,Alstonia scholaris L,Long đởm Gentianales,Ngọc lan,Apocynaceae Trúc đào ,Ngọc Lan Magnoliophyta,Thân gỗ,"rừng, trông, vườn",vỏ,"hạ sốt, hen suyễn, phong, đường ruột, dạ dày, khó tiêu",
118,Hoài sơn,Dioscorea persimilis Prain et Burkill,Củ nâu Dioscoreales,Hành,Dioscoreaceae Củ nâu ,Ngọc Lan Magnoliophyta,Dây leo,"Rừng, ven suối",Rễ củ,"Thuốc bổ, trị ăn không tiêu, chữa viêm ruột",
119,Hoàn ngọc,Pseuderanthemum palatiferum (Wall.) Radlk.,Hoa môi Lamiales,Ngọc lan,Acanthaceae Ô rô ,Ngọc Lan Magnoliophyta,thân bụi,vườn nhà,Lá,"Chữa viêm đại tràng, đi ngoài ra máu, đái buốt, trĩ",
120,Hoàng đằng,Fibraurea recisa Pierre,Mao lương Ranunculales,Ngọc lan,Menispermaceae Tiết dê ,Ngọc Lan Magnoliophyta,Dây leo,"Ven rừng, rừng trồng",Cả cây,"thanh nhiệt giải độc, lợi tiểu tiện, chữa đinh nhọt, viêm ruột cấp tính, đau họng, đau mắt, chữa lị, đau lưng",
121,Hòe,Sophora tonkinensis Gagn.,Đậu Fabales,Ngọc Lan,Fabaceae Ðậu  ,Ngọc Lan Magnoliophyta,Thân gỗ,"Rừng, vườn nhà",Hoa,"Làm thuốc ngủ, an thần, chữa cao huyết áp",
122,Hồi Núi,lllicium verum Hook. f et. Thoms.,Hồi Illiciales,Ngọc Lan,llliciaceae.Hồi. ,Ngọc Lan Magnoliophyta,Thân gỗ,rừng,"Quả, tinh dầu",Chất độc,
123,Hồng bì rừng,Clausena duniana Levl.,Cam Rutales ,Ngọc Lan,Rataceae Cam  ,Ngọc Lan Magnoliophyta,Thân gỗ,Rừng,Vỏ,Tinh dầu,
124,Hồng Tùng,Dacrydium elatum (Roxb.) Wall. Ex Hook. ,Kim giao Podocarpales,Thông,Podocarpaceae Kim giao ,Thông Pinophyta,Thân gỗ,Rừng,Vỏ,"Viêm họng chữa phong thấp tê bại, sốt rét cơn và rắn cắn.  thuốc bổ. đắp mụn nhọt.   ",
125,Hương nhu tía ,Ocimum sanctum L.,Hoa môi Lamiales,Ngọc Lan,Lamiaceae Hoa môi  ,Ngọc Lan Magnoliophyta,Thân thảo,Rừng,Tinh dầu,"bổ huyết, chữa huyết áp cao, tiêu độc, kinh nguyệt không đều.",
126,Hương nhu trắng,Ocimum gratissimum L.,Hoa môi Lamiales,Ngọc Lan,Lamiaceae Hoa môi  ,Ngọc Lan Magnoliophyta,Thân thảo,"Rừng, vườn nhà","Thân, lá","giải cảm nhiệt, lợi tiểu.",
127,Huyết đằng,Sargentodoxa cuneata (Oliv.) Rehd. et Wils. ,Mao lương Ranunculales,ngọc lan,SargentodoxaceaeHuyết đằng ,Ngọc Lan Magnoliophyta,dây leo,Rừng,Vỏ thân ,bổ huyết và điều kinh.,
128,Huyết dụ tía,Cordyline terminalis Kunth.,Hành Liliales,Hành,Asteliaceae Huyết dụ ,Ngọc Lan Magnoliophyta,Thân gỗ,vườn nhà,Lá,"Cầm máu,chữa ho ra máu, lỵ ra máu",
129,Ích mẫu,Leonurus heterophyllus Sweet,Hoa môi Lamiales,Ngọc lan,Lamiaceae Hoa môi  ,Ngọc Lan Magnoliophyta,Thân thảo,Vườn nhà,Lá và ngọn non ,"Chữa bệnh phụ nữ, cao huyết áp",
130,Ké đầu ngựa,Xanthium strumarlum L.,Cúc Asterales,Ngọc lan,Asteraceae Cúc ,Ngọc Lan Magnoliophyta,Thân bụi,"ven đường, bãi trống, ruộng hoang","Cành, lá, quả","Chữa mụn nhọt, bướu cổ, lở ngứa",
131,Ké Hoa Đào,Urena lobata L.,Bông Malvales,Ngọc Lan,Malvaceae Bông ,Ngọc Lan Magnoliophyta,Thân bụi,"ven đường, bãi trống, ruộng hoang","rễ ,Lá","Chữa thấp khớp, cảm cúm, viêm amygdal, mụn nhọt.",
132,Ké hoa vàng,Sida rhombifolia L. Syn. Sida alnifolia Lour.,Bông Malvales,Ngọc Lan,Malvaceae Bông ,Ngọc Lan Magnoliophyta,Thân bụi,"ven đường, bãi trống, ruộng hoang","rễ ,Lá","Chữa mụn nhọt, tiểu tiện nóng đỏ hay vàng đậm, sốt, lỵ",
133,khế,Averrhoa carambola L.,Chua me đất Oxalidales,Ngọc Lan,Oxalidaceae Chua me đất  ,Ngọc Lan Magnoliophyta,Thân gỗ,vườn nhà,"Vỏ, quả, hoa, lá và rễ ","Trị mẩn ngứa, dị ứng, chữa khát",
134,Khế rừng,"Rourea microphylla Planch.
",Chua me đất Oxalidales,Ngọc Lan,Connaraceae khế rừng ,Ngọc Lan Magnoliophyta,Thân bụi,rừng,"Thân, lá ","Sinh nở, tiểu vàng, mụn nhọt",
135,Khổ qua rừng,"Momordica charantia L., 1753",Bầu bí Cucurbitales,Ngọc Lan,Cucurbitaceae Bầu bí ,Ngọc Lan Magnoliophyta,dây leo,"rừng, vườn nhà","Rễ, dây, lá ","Chữa tiểu đường, chống ung thư, trị  Gout, chữa ho, thấp khớp, cao huyết áp",
136,Khôi Tía,Ardisia silvestris Pitard,Anh thảo Primunales,Ngọc Lan,Myrsinaceae Đơm nem ,Ngọc Lan Magnoliophyta,Thân bụi ,"rừng, ven suối",Lá,"Dạ dày, tá tràng",
137,khúc khắc,Heterosmilax gandichaudiana (Kunth) Maxim ,Hành Liliales,Hành,Smilacaceae Khúc khắc ,Ngọc Lan Magnoliophyta,Dây leo,"ven đường, bãi trống, ruộng hoang",rễ củ,"thấp khớp đau lưng, đau xương mụn nhọt,",
138,Kim Giao,Podocarpus fleuryi (Hickel) de Laub. ,Kim giao Podocarpales,Thông,Podocarpaceae Kim giao ,Thông Pinophyta,Thân gỗ,Rừng,thân,"ho, giải độc, sưng cuống phổi",
139,Lá Lốt,Piper lolot C. DC,hồ tiêu Piperales,Ngọc Lan,Piperaceae Hồ tiêu ,Ngọc Lan Magnoliophyta,Thân thảo,"Ven suối, rừng trồng, vườn nhà",Lá,"nôn mửa, đầy hơi, tiêu nóng, phong",
140,Lá móng,Lawsonia inermis L.,Tử vi Lythraceae,Ngọc lan,Lythraceae Tử vi ,Ngọc Lan Magnoliophyta,Thân thảo,vườn nhà,Cả cây,"mụn nhọt, viêm, hạ sốt, vàng da",
141,Lạc tiên,Passiflora foetida L.,Hoa tím Violales,Ngọc Lan,Passifloraceae Lạc tiên ,Ngọc Lan Magnoliophyta,dây leo,"Trảng cỏ, ven rừng","Thân, lá","An thần, chữa mất ngủ, hồi hộp ",
142,Lan Kim tuyến,Anoectochilus setaceus Bl.,Phong lan Orchidales,ngọc lan,Orchidaceae Phong lan ,Ngọc Lan Magnoliophyta,Thân thảo,"Rừng, suối",Cả cây,"đau bụng, sốt cao, rắn cắn, tiểu đường, timm mạch, huyết áp",
144,Lát hoa ,"Chukrasia tabularis A. Juss,",Cam Rutales,Ngọc Lan,Meliacaeae Xoan ,Ngọc Lan Magnoliophyta,Thân gỗ,"Rừng, vườn nhà",vườn nhà,,
145,Lấu,Psychotria rubra (Lour.) Poir,Long đởm Gentianales,Ngọc lan,Rubiaceae Cà phê  ,Ngọc Lan Magnoliophyta,Thân gỗ,Rừng,"Rễ, lá ","Cảm mạo, viêm họng, kiết lỵ, sốt thương hàn, thấp khớp",
146,Lẻ bạn,Tradescantia discolor L'Hér. ,Thài lài Commelinales,Hành,Commelinaceae Thài lài ,Ngọc Lan Magnoliophyta,Thân thảo,vườn nhà,Hoa và lá ,"Thanh nhiệt, chảy máu cam, ho gà, lỵ trực trùng, đái ra huyết; ",
147,Lô hội,"Aloe vera L.,",Thủy tiên Amaryllidales,Hành,Asphodelaceae Lô hội  ,Ngọc Lan Magnoliophyta,Thân thảo,vườn nhà,"Lá, nhựa cây","Nhuận trường, chữa táo bón, kích thích tiêu hóa, chữa bỏng, tiểu đường, viêm da",
148,Lộc vừng hoa đỏ,Barringtonia acutangula (L.) Gaertn. ,Sim Myrtales,Ngọc lan,Lecythidaceae Lộc vừng ,Ngọc Lan Magnoliophyta,Thân gỗ,vườn nhà,"Vỏ, thân, quả ","Đau bụng, sốt, ỉa chảy, chữa chàm",
149,Lồng đèn,Physalis peruviana L.,Cà Solanales,Ngọc Lan,Solanaceae Cà  ,Ngọc Lan Magnoliophyta,Thân thảo,"vườn nhà, trảng cỏ",Toàn cây và quả ,"Chữa sốt, ho sưng họng, chữa mụn lở, phụ nữ sinh đẻ khó. ",
150,Lu Lu Đực,Solanum nigrum L. ,Cà Solanales,Ngọc Lan,Solanaceae Cà  ,Ngọc Lan Magnoliophyta,Thân thảo,"Ven rừng, trảng cỏ, rừng trồng",Cả cây,"Cảm sốt, viêm phế quản cấp, bệnh đường tiết niệu, viêm thận cấp, viêm tiền liệt tuyến, viêm vú, u ác tính. ",
151,Lục lạc,Crotalaria pallida Aiton.,Đậu Fabales,Ngọc Lan,Fabaceae Ðậu  ,Ngọc Lan Magnoliophyta,Thân gỗ,"ven đường, trảng cỏ, vườn nhà",Cả cây,"Chóng mặt, suy nhược thần kinh, di tinh, xuất tinh sớm, đau bụng. ",
152,Lược vàng trắng,Callisia fragrans,Thài lài Commelinales,Hành,Commelinaceae Thài lài ,Ngọc Lan Magnoliophyta,Thân thảo, vườn nhà,Cả cây,"chữa bệnh loét dạ dày tá tràng, gan, lợi tiểu, ngăn ngừa và điều trị các khối u trong cơ thể.",
153,Lưỡi rắn,Hedyotis burmanina R. Br,Long đởm Gentianales,Ngọc lan,Rubiaceae Cà phê  ,Ngọc Lan Magnoliophyta,Thân thảo,"ven đường, vườn nhà","Thân, lá","Chữa sốt, chữa ho, chữa ung thư.",
154,Mã đề,Plantago major L.,Hoa mõm sói Scrophulariales,Ngọc Lan,Plantaginaceae Mã đề ,Ngọc Lan Magnoliophyta,Thân thảo,"Rừng trồng, vườn nhà","Thân, lá","Chữa bí tiểu, viêm khí quản, đau mắt đỏ, mụn nhọt, côn trùng cắn.",
155,Mâm Xôi,Rubus alceaefolius Poir. ,Hoa hồng Rosales,Ngọc Lan,Rosaceae Hoa hồng ,Ngọc Lan Magnoliophyta,Dây leo,"ven đường, trảng cỏ, vườn nhà","Quả, cành lá -","Có tác dụng bổ can thận, giữ tinh khí, làm cường dương, mạnh sức.",
156,Màn màn hoa vàng,Cleome viscosa L,Màn màn Capparales,Ngọc lan,Capparaceae Màn màn  ,Ngọc Lan Magnoliophyta,Thân bụi,"ven đường, trảng cỏ, vườn nhà",Cả cây,"Nhức đầu, đau tai, chống chảy máu chân răng, khích tiêu hóa, chữa tê thấp, trị giun",
157,Màng Tang,Litsea cubeba (Lour.) Pers.,Long não Laurales,Ngọc lan,Lauraceae  Long não  ,Ngọc Lan Magnoliophyta,Thân gỗ,rừng,Cả cây,"chữa cảm lạnh, đau bụng lạnh.",
158,Mật nhân,Eurycoma longifolia Jack.,Cam Rutales,Ngọc Lan,Simaroubaceae Thanh thất ,Ngọc Lan Magnoliophyta,Thân gỗ,Rừng,Cả cây,"chữa khí hư, lỵ, nôn, mữa, đau xương, ăn uồng không tiêu, sốt",
159,Mắt Trâu cong,Desmodium styracifolium Merr.,Đậu Fabales,Ngọc Lan,Fabaceae Ðậu  ,Ngọc Lan Magnoliophyta,Thân thảo,Rừng,"vỏ, lá, quả","Chữa sỏi thận, khó tiêu, bàng quang",
160,Mè đất,"Leucas zeylanica (L.) R. Br., ",Hoa môi Lamiales,Ngọc lan,Lamiaceae Hoa môi  ,Ngọc Lan Magnoliophyta,thân thảo,"Rừng, trảng cỏ",Cả cây,"thuốc trị rắn cắn, trị sa dạ dày và chữa bệnh đau mắt Cảm mạo, ho; 2. Phong nhiệt tê đau, dạ dày và ruột không thông; 3. Ho gà",
161,mía dò hoa ngọn,Costus speciosus Smith,Gừng Zingiberales,Hành,Costaceae Mía dò ,Ngọc Lan Magnoliophyta,Thân thảo,"ven rừng,ven suối","Thân rễ, ngọn","thanh nhiệt, giải độc, lợi tiểu, tiêu thũng, chống viêm.",
162,Mít nài,Artocarpus rigudus Blume,Gai Urticales ,Ngọc lan,Moraceae Dâu tằm ,Ngọc Lan Magnoliophyta,Dây leo,"rừng, ven  suối","Nhựa cây, quả",Dùng thuốc đắp,
163,Mơ rừng,Paederia scandens (Lour.),Long đởm Gentianales,Ngọc lan,Rubiaceae Cà phê  ,Ngọc Lan Magnoliophyta,Thân gỗ ,"Rừng, vườn nhà","lá, thân, rễ","Dạ dày, tiêu hoá kém, viêm gan vàng da, viêm ruột, lỵ, đau nhức gân cốt",
164,Mơ tam thể,Paederia tomentosa L.,Long đởm Gentianales,Ngọc lan,Rubiaceae Cà phê  ,Ngọc Lan Magnoliophyta,Dây leo,vườn nhà,Lá,"dùng để chữa lỵ trực trùng và lỵ amip, đau đại tràng",
165,Mơ Trơn,Paederia foetida L.,Long đởm Gentianales,Ngọc lan,Rubiaceae Cà phê  ,Ngọc Lan Magnoliophyta,Thân thảo,"Trảng cỏ , ven rừng, rừng trồng",Lá,"Chữa sôi bụng, ăn không tiêu, viêm dạ dày",
166,Mộc hương,Saussurea lappa C. B. Clarke ,Cúc Asterales ,Ngọc lan,Asteraceae Cúc ,Ngọc Lan Magnoliophyta,Thân thảo,"Trảng cỏ , ven rừng, rừng trồng",Rễ,"Đầy bụng, ăn khó tiêu, dạ dày",
167,Móng ngựa,Angiopteris confertinervia Ching,Dương xỉ tòa sen Marattiales,Móng ngựa,Marattiaceae Móng ngựa ,Dương xỉ Polypodiophyta,Thân thảo,"Trảng cỏ , ven rừng, rừng trồng",Rễ,Xương khớp,
168,Mua,Melastoma candidum D. Don.,Sim Myrtales,Ngọc lan,Melastomataceae Mua . ,Ngọc Lan Magnoliophyta,Thân bụi,"Trảng cỏ , ven rừng, rừng trồng",Rễ và lá ,"Khó tiêu, viêm ruột, lỵ trực trùng, viêm gan, nôn ra máu, đau xương",
169,Mùi tàu,Eryngium foetidum L.,Hoa tán Apiales,Ngọc Lan,Apiaceae Hoa tán  ,Ngọc Lan Magnoliophyta,Thân thảo,"Trảng cỏ , ven rừng, rừng trồng",Cả cây,"Cảm mạo đau tức ngực, rối loạn tiêu hoá, viêm ruột ỉa chảy. ",
170,Muối,Rhus chinensis Mill ,Cam Rutales ,Ngọc Lan,Anacardiaceae Ðào lộn hột ,Ngọc Lan Magnoliophyta,Thân gỗ,Rừng,Cuống lá và lá bị sâu,"thổ huyết ăn uống không tiêu đi ỉa lỏng,trị mẩn ngứa ngoài da, ghẻ ngứa, ngứa sần, trẻ em mồ hôi trộm",
171,Muồng trâu,Cassia alata L.,Đậu Fabales,Ngọc lan,Fabaceae Ðậu  ,Ngọc Lan Magnoliophyta,Thân gỗ,Rừng,"Hạt, lá","Táo bón, lở ngữa ngoài da, chữa nấm lác, tẩy xổ",
172,Muồng Truổng,Zanthoxylum avicennae (Lamk.) DC. ,Cam Rutales ,Ngọc Lan,Rataceae Cam  ,Ngọc Lan Magnoliophyta,Thân gỗ,Rừng,"Rễ, lá và quả ","chữa mẩn ngứa, lở loét, ghẻ. trị đau dạ dày, đau bụng",
173,Náng hoa trắng,Crinum asisticum L. ,Thủy tiên Amaryllidales,Hành,Amaryllidaceae Thuỷ tiên ,Ngọc Lan Magnoliophyta,Thân thảo,Vườn nhà,Cả cây,"Đau họng, đau răng, viêm mủ da, đau các khớp xương, rắn cắn. ",
174,Nắp ấm trung bộ,Nepenthes annamensis Mac.,Nắm ấm Nepenthales,Ngọc Lan,Nepenthaceae Nắp ấm ,Ngọc Lan Magnoliophyta,dây leo,Rừng,Thân," tiêu viêm, ngứa, thanh nhiệt, bại liệt",
175,Nga truật,Curcuma zedoaria (Berg.) Roscoe ,Gừng Zingiberales,Hành,Zingiberaceae Gừng  ,Ngọc Lan Magnoliophyta,thân thảo,Rừng,Củ,"Chữa ho, kinh nguyệt không đều, ung thư, khó tiêu,",
176,Nga trưởng,Crypsinus oxylobus (Wall ex G. Kunze) Sledge,Dương xỉ Polypodiales,Dương xỉ,Polypodiaceae Ráng  ,Dương xỉ Polypodiophyta,Dây leo,Rừng,"thân, lá","sốt, ngoài da, khớp",
177,Ngà voi,Sansevieria cylindrica Bojer,Thùa Avagales,Hành,Dracaenaceae Bồng bồng  ,Ngọc Lan Magnoliophyta,thân thảo,Vườn nhà,lá,"sưng tấy, sai xương",
178,Ngái,Ficus hispida L. F.,Gai Urticales ,Ngọc Lan,Moraceae Dâu tằm ,Ngọc Lan Magnoliophyta,Thân gỗ,Rừng,Quả,,
179,Ngãi cứu,Artemisia vulgaris L.,Cúc Asterales ,Ngọc lan,Asteraceae Cúc ,Ngọc Lan Magnoliophyta,Thân thảo,Vườn nhà,"Lá, ngọn","Điều kinh, an thai, chữa lỵ, thổ huyết, máu cam, tăng huyết áp.",
180,Ngải mọi = nghệ rừng,Globba pendula Roxb. ,Gừng Zingiberales,Hành,Zingiberaceae Gừng  ,Ngọc Lan Magnoliophyta,thân thảo,Rừng,Cả cây,"sốt, thấp khớp, giải độc rượu",
181,Thành Nghạnh,Cratoxylum prunifolium Dyer,Bộ Sơ ri Malpighiales,Ngọc Lan,Clusiaceae Măng cụt ,Ngọc Lan Magnoliophyta,Thân gỗ,Rừng,"Lá non, vỏ thân, rễ.","Giúp tiêu hóa, phụ nữ sau khi đẻ ăn ngon",
182,Ngâu,Aglaia duperreana Pierre,Cam Rutales,Ngọc Lan,Meliacaeae Xoan ,Ngọc Lan Magnoliophyta,Thân gỗ,Rừng,"Hoa , lá","chữa sốt, vàng da, hen suyễn.",
183,Nghể,Polygonum hydropiper L. ,Rau răm Polygonales,Ngọc lan,Polygonaceae Rau răm ,Ngọc Lan Magnoliophyta,Thân thảo,Rừng,"lá, mủ","Làm thuốc cầm máu, nhuận trang, thông tiểu, chữa giun, chữa rắn cắn.",
184,Nghệ ,Curcuma longa L.,Gừng Zingiberales,Hành,Zingiberaceae Gừng  ,Ngọc Lan Magnoliophyta,Thân thảo,Vườn nhà,Củ,"Chữa viêm loét dạ dày, mụn nhọt, làm mờ sẹo, đau bụng ở sản phụ",
185,Nghể núi (Nghểnh bà),Polygonum nepalense Meisn.,Rau răm Polygonales,Ngọc lan,Polygonaceae Rau răm ,Ngọc Lan Magnoliophyta,Thân thảo,"Ven rừng, suối","Thân, lá","Cầm máu, nhuận tràng, tiểu buốt",
186,Ngũ trảo,Vitex negundo L.,Hoa môi Lamiales,Ngọc Lan,Verbenaceae Cỏ roi ngựa  ,Ngọc Lan Magnoliophyta,Thân bụi,"Ven đường, trảng cỏ, vườn nhà","quả, lá, rễ"," trị nhức mỏi gân cốt, trị sốt cách nhật, bán thân bất toại và bại liệt.  chữa kinh nguyệt không đều, bạch đới, cho ra mồ hôi, bớt nhức đầu, tim, hen suyễn.trị bệnh sốt rét, g trị ho. ăn ngon cơm, dễ tiêu hóa, chữa hen suyễn.",
187,Nhài,"Jasminum sambac (L.), Ait.",Hoa môi  Lamiales,ngọc lan,Oleaceaa Nhài  ,Ngọc Lan Magnoliophyta,Thân bụi,Vườn nhà,"hoa, lá, rễ","sốt, ỉa chảy, đau bụng, đau mắt, nhiệt",
