,Tên Việt Nam,Tên Khoa học,Bộ,Lớp,Họ,Ngành,Dạng sống,Sinh cảnh,Bộ phận dùng,Công dụng,
188,Nhân trần,Andenosma caeruleum R.Br.,Hoa môi  Lamiales,Ngọc Lan,Scrophulariaceae Hoa mõm sói,Ngọc Lan Magnoliophyta,Thân thảo,"Vườn nhà, rưừng","Thân, lá","Lợi mật, lợi tiểu, thanh nhiệt, khích thích tiêu hóa",
189,Nhàu,Morinda citrifolia L.,Long đởm Gentianales,Ngọc Lan,Rubiaceae Cà phê  ,Ngọc Lan Magnoliophyta,Thân gỗ,"Vườn nhà, ven rừng","Rễ, lá, vỏ thân, quả","Hạ huyết áp, đau lưng, nhức mỏi",
190,Nhọ nồi,Eclipta alba Hassk. ,Cúc Asterales,Ngọc lan,Asteraceae Cúc ,Ngọc Lan Magnoliophyta,Thân thảo,"Ven đường, trảng cỏ, vườn nhà","Thân, lá","Cầm máu, ban sởi, ho, tưa lưỡi",
191,Nhọc trái khớp lá thuôn,Enicosanthellum plagionerum (Diel.) Ban,Na Annales,Ngọc Lan,Annonaceae Na  ,Ngọc Lan Magnoliophyta,Thân gỗ,Rừng,"Lá, vỏ","hoạt huyết giảm đau, khư phong trừ thấp, tiêu viêm giải độc.",
260,Ổ Kiến,Hydnophytum formicarum Jack,Long đởm Gentianales,Ngọc lan,Rubiaceae Cà phê  ,Ngọc Lan Magnoliophyta,phụ sinh,Rừng,"dây, hạt","Viêm gan, đau xương, ỉa chảy",
192,Ổi,Psidium guajava L.,Sim Myrtales,Ngọc lan,Myrtaceae Sim  ,Ngọc Lan Magnoliophyta,Thân gỗ,"ven đường, trảng cỏ, vườn nhà","lá, quả","ỉa chảy, viêm ruột cấp",
193,Ớt,Capsicum frutescens L. ,Cà Solanales,Ngọc Lan,Solanaceae Cà  ,Ngọc Lan Magnoliophyta,Thân bụi,"ven đường, trảng cỏ, vườn nhà","quả, lá, thân, rễ","Chữa ỉa chảy, sốt, long đờm, phong thấp, liệt",
195,Phèn Đen,Phyllanthus reticulatus Poir.,Thầu dầu Euphorbiales,Ngọc lan,Euphorbiaceae Thầu dầu -  ,Ngọc Lan Magnoliophyta,Thân thảo,"ven đường, trảng cỏ, vườn nhà","rễ, lá, vỏ, thân","lỵ, rắn cắn, vết thưuong",
196,Quất,Fortunella japonica (Thunb.) Swingle,Cam Rutales,Ngọc lan,Rataceae Cam  ,Ngọc Lan Magnoliophyta,Thân gỗ,vườn,"quả, hạt","chữa ho trẻ em, nôn mửa do lạnh bụng, ăn uống không tiêu, đàm vướng ở cổ họng, khô cổ khát nước",
197,Quế,Cinnamomum obtusifolium Nees. ,Long não Laurales,Ngọc lan,Lauraceae  Long não  ,Ngọc Lan Magnoliophyta,Thân gỗ,Rừng,"Vỏ cây, cành","đau bụng lạnh, phong tê bại, tiêu chảy, bế kinh, cảm lạnh",
198,Quyển Bá,Selaginella tamariscina (Beauv.) Spring.,Quyển bá Selaginellales,Quyển bá,Selaginellaceae Quyển bá ,Thông đất Lycopodiophyta,Thân thảo,"Rừng, ven suối",Cả cây,"Chữa bỏng lửa, Đâu đầu, vàng da. ung thư phổi, ung thư vòm họng.",
199,Quýt,Citrus deliciusae Tenore,Cam Rutales,Ngọc lan,Rataceae Cam  ,Ngọc Lan Magnoliophyta,Thân gỗ,vườn,"quả, hạt","chữa ho trẻ em, nôn mửa do lạnh bụng, ăn uống không tiêu, đàm vướng ở cổ họng, khô cổ khát nước",
200,Ráng dừa đông,Blechnum orientale L,Dương xỉ - Polypodiales,Dương xỉ,Blechnaceae Ráng dừa,Dương xỉ  Polypodiophyta,Thân giả gỗ,"Ven rừng, ven suối","Lá, thân","Chữa mụn nhọt và vết thương sưng tấy,hoặc phối hợp với lá Vông vang chữa rắn cắn.",
201,Rau dền gai,Amaranthus spinosus L.,Cẩm chướng Caryophyllales,Ngọc Lan,Amaranthaceae Rau dền ,Ngọc Lan Magnoliophyta,Thân thảo,"vườn nhà, rừng trồng, đát trống",Cả cây,"Giair nhiệt, trị bỏng, mụn nhọt, đau tim, rắn cắn",
202,Rau dớn,Diplazium esculentum (Retz) Sw,Dương xỉ Polypodiales,Dương xỉ,Athyriaceae Rau dớn ,Dương xỉ Polypodiophyta,Thân thảo,ven suối,Cả cây,sắc nước cho phụ nữ sinh đẻ uống.  ,
203,Râu Hùm,Tacca integrifolia  Ker-Gawl.,Râu hùm Taccales,Ngọc lan,Taccaceae Râu hùm ,Ngọc Lan Magnoliophyta,Thân thảo,ven suối,Thân rễ,chữa thấp khớp,
204,Rau má,Centella asiatica Urban,Hoa tán Apiales,Ngọc Lan,Apiaceae Hoa tán  ,Ngọc Lan Magnoliophyta,Thân thảo,"Ven suối, vườn nhà",Cả cây,"Giải nhiệt, sốt cao, chảy máu cam, mụn nhọt",
205,Rau má lá rau muống,Emilia sonchifolia DC.,Cúc Asterales ,Ngọc lan,Asteraceae Cúc ,Ngọc Lan Magnoliophyta,Thân bụi,"ven rừng, vườn nhà","thân , lá","mụn nhọt, sắc uống để chữa ho lâu ngày, hoặc ho lao và chữa sốt.",
206,Râu Mèo,Orthosiphon stamineus Merr,Hoa môi Lamiales,Ngọc Lan,Lamiaceae Hoa môi  ,Ngọc Lan Magnoliophyta,Thân thảo,ven rừng,"lá, ngọn","chữa sỏi thận, lợi tiểu, kháng viêm",
207,Rau ngót,Sauropus androgynus (L) Merr,Thầu dầu Euphorbiales,Ngọc lan,Euphorbiaceae Thầu dầu -  ,Ngọc Lan Magnoliophyta,Thân bụi,"ven đường,rừng trồng, vườn nhà","Thân, cành mang lá","thanh nhiệt, giải độc, chảy máu cam, trị táo bón",
208,Rau răm,Polygonum odoratum Lour,Rau răm Polygonales,Ngọc lan,Polygonaceae Rau răm ,Ngọc Lan Magnoliophyta,Thân thảo,Vườn nhà,Cành và lá ,"kích thích tiêu hoá, chữa dạ dày lạnh, đầy hơi đau bụng, kém ăn, co gân ",
209,Rau Tần,Coleus aromaticus Benth.,Hoa môi Lamiales,Ngọc Lan,Lamiaceae Hoa môi  ,Ngọc Lan Magnoliophyta,Thân thảo,Vườn nhà,Lá và ngọn non ,"Chữa cảm cúm, chữa ho, thổ huyết, chảy máu cam. Dùng ngoài giã đắp lên những vết bọ cạp cắn.",
210,Ráy,Alocasia odora (Roxb.) C. Koch.,Ráy Arales,Hành,Araceae Ráy  ,Ngọc Lan Magnoliophyta,Thân thảo,Suối,Thân rễ.,Chế cao dán mụn nhọt.,
211,Rẻ quạt,Belamcanda chinensis (L.) DC.,Lá đơn  Iridales ,Hành,Iridaceae Lá đơn ,Ngọc Lan Magnoliophyta,Thân thảo,vườn nhà,Thân rễ,"Chữa ho tưc ngực, viêm họng, viêm ami đan.",
212,Riềng nếp,Alpinia galanga (L.) Willd. ,Gừng Zingiberales,Hành,Zingiberaceae Gừng  ,Ngọc Lan Magnoliophyta,Thân thảo,"vườn nhà, rừng",Củ,"khớp, sốt, tiêu hóa, kiết lỵ, ho",
213,Sả,Cymbopogon citratus Stapf.,Lúa Poales,Hành,Poaceae Lúa  ,Ngọc Lan Magnoliophyta,Thân thảo,Vườn nhà,"Cả cây, tinh dầu","Chữa cảm sốt, đau bụng, đầy hơi",
214,Sa Bì,Hemigramma decurrens (Hook.) Cop.,Dương xỉ Polypodiales ,Dương xỉ,Aspidiaceae Tai đất  ,Dương xỉ Polypodiophyta,Thân thảo,"ven đường, trảng cỏ, vườn nhà",Thân rễ ,Trị bệnh lỵ. ,
215,Sa kê,Artocarpus altilis (Park) Forb.,Gai Urticales,Ngọc lan,Moraceae Dâu tằm ,Ngọc Lan Magnoliophyta,Thân gỗ,"ven đường, vườn nhà","rễ, thân, lá, vỏ, nhựa","răng, sỏi thận, tăng huyết áp, mụn, nhọt, rắn cắn",
216,Sâm Cau( Ngải cau),Curculigo orchioides Gaertn.,Thiên môn đông Asparagales,hành,Hypoxidaceae tỏi voi lùn,Ngọc Lan Magnoliophyta,Thân thảo,rừng,Rễ,"thuốc bổ, chữa ho, di tinh, đau ngực, ngực bị tổn thương.","Sách đỏ,VU A1c,d."
217,Sâm đại hành,Eleutherine bulbosa (Mill.) Urb,Lá đơn Iridales ,Hành,Iridaceae Lá đơn ,Ngọc Lan Magnoliophyta,Thân thảo,vườn nhà,Củ ,"Trị đinh nhọt, viêm họng, mẩn ngứa, bổ máu",
218,Sâm đất,Talinum patens L,Cẩm chướng Caryophyllales,Ngọc Lan,Portulacaceae rau sam ,Ngọc Lan Magnoliophyta,Thân thảo,"rừng , vườn nhà",Rễ và lá ,"Chữa mụn nhọt, lở ngứa, viêm niệu đạo, bàng quang, viêm tắc tuyến sữa, tai họng",
219,Sâm nam,Dipsacus japonicus Miq.,Tục đoạn Dipsacales,Ngọc lan,Dipsacaceae Tục đoạn ,Ngọc Lan Magnoliophyta,Thân thảo,rừng,rễ,"Chữa đau lưng, mỏi gối, di tinh, gãy xương, đứt gân do chấn thương, phong thấp gây đau nhức, động thai",
220,Sắn dây,Pueraria thomsoni Benth. ,Đậu Fabales,Ngọc lan,Fabaceae Ðậu  ,Ngọc Lan Magnoliophyta,Dây leo,vườn nhà,Củ,"Mất ngủ, hạ sốt, mụn nhọt, giải nhiệt",
221,Sao đen,Hopea odorata Roxb.,Bông Malvales ,Ngọc Lan,Dipterocarpaceae Dầu ,Ngọc Lan Magnoliophyta,Thân gỗ,"rừng, vườn nhà","Vỏ cây, nhựa ","Chữa viêm lợi, áp xe lợi và trị sâu răng.",
222,Sầu đâu rừng,"Brucea javanica (L.), Merr.",Cam Rutales,Ngọc Lan,Simaroubaceae Thanh thất ,Ngọc Lan Magnoliophyta,Thân gỗ,rừng,quả,"Chữa lỵ amip,sốt rét, giun đũa",
223,Sẻn gai,Zanthoxylum armatum DC.,Cam Rutales ,Ngọc Lan,Rataceae Cam  ,Ngọc Lan Magnoliophyta,Thân bụi,"Ven rừng,ven suối","Rễ, thân, quả, hạt, vỏ thân, lá -","Trị đau răng, đau bụng, dạ dày, đau đầu, ho, phong thấp đau nhức khớp, rắn độc cắn, mẩn ngứa ngoài da ",
224,Sẻng,Zanthoxylum acanthopodium DC.,Cam Rutales ,Ngọc Lan,Rataceae Cam  ,Ngọc Lan Magnoliophyta,Thân bụi,"Ven rừng,ven suối","Quả, rễ ","Chữa đau dạ dày, phong thấp đau nhức khớp xương, thương tổn bên trong gây đau bụng.",
225,Sim,Rhodomyrtus tomentosa (Ait.) Hassk.,Sim Myrtales,Ngọc lan,Myrtaceae Sim  ,Ngọc Lan Magnoliophyta,Thân bụi,"Ven trừng, trảng cỏ","Rễ, lá, quả","Rữa vết thương, vết loét, đi ỉa lỏng, ",
226,Sim rừng,Rhodamnia dumetorum (Poir.) Merr et Perry ,Sim Myrtales,Ngọc Lan,Myrtaceae Sim  ,Ngọc Lan Magnoliophyta,Thân bụi,"đồi núi, rừng, vườn nhà","vỏ, lá, quả","ỉa chảy, lợi răng, dạ dày",
227,Sổ xoan,Dillenia ovata Wall. Ex Hook. F.et Thoms.,Sổ Dilleniales,Ngọc lan,Dilleniaceae Sổ ,Ngọc Lan Magnoliophyta,Thân gỗ,Rừng,"quả, lá, vỏ","Giaải độc, chữa ho, sốt, đầy bụng",
228,Sói rừng,Sarcandra glabra (Thunb.) Nakai,Hoa sói Chloranthales,Ngọc Lan,Chloranthaceae Hoa sói ,Ngọc Lan Magnoliophyta,Thân bụi,"Rừng, ven suối",Cả cây,"hoạt huyết giảm đau, khư phong trừ thấp, tiêu viêm giải độc.",
229,Sòi tía,Sapium discolor (Champ.) Muell - Arg.,Thầu dầu Euphorbiales,Ngọc lan,Euphorbiaceae Thầu dầu -  ,Ngọc Lan Magnoliophyta,Thân gỗ,Rừng,Cả cây,"sỏi thận, viêm, mụn nhọt, áp xe vú",
230,Song bảo,Amphicarpaea edgeworthii Benth.,Đậu Fabales,Ngọc lan,Fabaceae Ðậu  ,Ngọc Lan Magnoliophyta,Dây leo,Rừng,"củ, rễ, quả","hen suyễn, viêm khí quản",
231,Song bào đá,Disporum trabeculatum Gagn.,Hành Liliales,Hành,Convallariaceae Mạch môn ,Ngọc Lan Magnoliophyta,Dây leo,rừng,Thân,"gan, mật",
232,Sống đời,Kalanchoe pinata (Lamk.) Pers.,Cỏ tai hổ Saxifragales,Ngọc Lan,Crassulaceae Thuốc bỏng ,Ngọc Lan Magnoliophyta,Thân bụi,Vườn nhà,lá,"trĩ, lỵ, mụn nhọt, viêm họng, viêm xoang",
233,Sung,Ficus racemosa L.,Gai Urticales,Ngọc lan,Moraceae Dâu tằm ,Ngọc Lan Magnoliophyta,Thân gỗ,Rừng,"lá, nhựa, vỏ cây, quả, lá","tiêu đờm, lợi tiểu, dạ dày, rắn cắn",
234,Sừng trâu,Holarrhena antidysenteria Wall,Long đởm Gentianales,Ngọc Lan,Apocynaceae Trúc đào ,Ngọc Lan Magnoliophyta,Thân gỗ,vườn nhà,"hạt, vỏ thân","Chữa lỵ amip, tiêu chảy, hạ sốt",
235,Tai Chuột,Dischidia acuminata Cost.,Long đởm Gentianales ,Ngọc lan,Asclepiadaceae Thiên lý ,Ngọc Lan Magnoliophyta,Dây leo,"Rừng, ven suối",Cả cây,"Viêm tiết niệu, thận",
236,Tầm bóp,Physalis angulata L.,Cà Solanales,Ngọc Lan,Solanaceae Cà  ,Ngọc Lan Magnoliophyta,Thân thảo,"trảng cỏ, ven đường",Cả cây,"Cảm sốt, ho, đinh nhọt",
237,Tang ký nô,Loranthus chinensis DC.,Tầm gửi Loranthales,Ngọc Lan,Loranthaceae Tầm gửi  ,Ngọc Lan Magnoliophyta,dây leo,"rừng, vườn nhà",Cả cây,"huyết áp, phong, khớp, đau bụng",
238,Tang ký sinh,Taxillus gracilifolius (Schult.) Ban ,Tầm gửi Loranthales,Ngọc Lan,Loranthaceae Tầm gửi  ,Ngọc Lan Magnoliophyta,dây leo,"vườn nhà, rừng",Cả cây,"phong, mụn nhọt, sốt",
239,Táo dại,Ziziphus oenoplia (L.) Mill.,Táo ta Rhamnales,Ngọc Lan,Rhamnaceae Táo ta  ,Ngọc Lan Magnoliophyta,Thân gỗ,"đồi, rừng","vỏ, hạt, rễ, lá","thuốc ngủ, an thần. Lá táo chữa viêm phế quản, đắp ngoài chữa lở loét, ung nhọt.",
240,Tàu Bay,Crassocephalum rabens S.MOORE ,Cúc Asterales ,Ngọc lan,Asteraceae Cúc ,Ngọc Lan Magnoliophyta,Thân thảo,"Rừng, trảng cỏ",lá,"giảm béo, rắn cắn",
241,Thạch Tùng,Lycopodium clavatum L.,Thông đất Lycopodiales,Thông đất,Lycopodiaceae Thông đất ,Thông đất Lycopodiophyta,Thân thảo,Rừng,"thân, lá","chua viem, khop, phoi",
242,Thạch Xương Bồ ,Acorus macrospadiceus (Yam.) F. N. Wei &Y. K. Li.,Ráy Arales,Hành,Araceae Ráy  ,Ngọc Lan Magnoliophyta,Thân thảo,Ven suối,Cả cây,"phong, viêm, khớp",
243,Thài Lài tía,Tradescantia zebrina Hort. ex London,Thài lài Commelinales,Hành,Commelinaceae Thài lài ,Ngọc Lan Magnoliophyta,Thân thảo,Ven suối,Cả cây,"Chữa viêm bàng quang cấp tính, làm thuốc lợi tiểu, chữa tiểu tiện khó, tiểu buốt, sỏi thận",
244,Thài lài trắng,Commelina diffusa Burm. f.,Thài lài Commelinales,Hành,Commelinaceae Thài lài ,Ngọc Lan Magnoliophyta,Thân thảo,Ven suối,"Rễ, thân ","Cảm cúm, kiết lỵ",
245,Thần Linh lá nhỏ,Kibantalia laurifolia (Rild.) Wooson.,Long đởm Gentianales,Ngọc Lan,Apocynaceae Trúc đào ,Ngọc Lan Magnoliophyta,Thân gỗ,Rừng,"Lá, vỏ","Chữa thấp khớp, đau nhức xương, tê bại, đau dạ dày, khó tiêu, đau bụng kinh. ",
246,Thàn mát,Milletia ichthyochtona Drake  ,Đậu Fabales,Ngọc lan,Fabaceae Ðậu  ,Ngọc Lan Magnoliophyta,Thân gỗ,Rừng,hạt,Trị ghẻ,
247,Thảo quyết minh,Cassia tora L.  ,Đậu Fabales,Ngọc lan,Fabaceae Ðậu  Caesalpiniaceae,Ngọc Lan Magnoliophyta,Thân thảo,"ven đường, trảng cỏ, vườn nhà","lá, tinh dầu, hạt","Chữa đau mắt đỏ, quáng gà, nhức đầu, cao huyết áp, mất ngủ, táo bón.",
248,Thầu dầu,Ricinus communis L.,Thầu dầu Euphorbiales,Ngọc lan,Euphorbiaceae Thầu dầu -  ,Ngọc Lan Magnoliophyta,Thân gỗ,"ven đường, vườn nhà",Tinh dầu,"Làm thuốc nhuận trường, tẩy xổ",
249,Thầu đâu,Azadirachta indica Juss f.,Cam Rutales,Ngọc Lan,Meliacaeae Xoan ,Ngọc Lan Magnoliophyta,Thân bụi,"ven đường, trảng cỏ, vườn nhà",Cả cây,"sốt rét, bong gân, ghẻ lở, rắn cắn",
250,Thiên niên kiện,Homalomena pierriana Engl.,Ráy Arales,Hành,Araceae Ráy  ,Ngọc Lan Magnoliophyta,Thân bụi,"rừng, ven suối",thân rễ,"Chữa thấp khớp, đau nhức xương, tê bại, đau dạ dày, khó tiêu, đau bụng kinh. ",
251,Thổ phục Linh,Smilax glabra Wall. ex Roxb. ,Hành Liliales,Hành,Smilacaceae Khúc khắc ,Ngọc Lan Magnoliophyta,Dây leo,"rừng, vườn nhà",Thân rễ,"Chữa phong thấp, viêm khớp, rối loạn tiêu hóa, đau bụng, tiêu chảy, mụn nhọt",
252,Thông thiên,Thevetia peruviana (Pars.) K. Schum,Long đởm Gentianales,Ngọc lan,Apocynaceae Trúc đào ,Ngọc Lan Magnoliophyta,Thân gỗ,Vườn nhà,lá,tim,
253,Thùa,Agave americana L.,Thủy tiên Amaryllidales,Hành,Agavaceae Dứa Mỹ  ,Ngọc Lan Magnoliophyta,Thân thảo,vườn nhà,Rễ,"Chữa đau nhức, thấp khớp, giúp tiêu hóa",
254,Thuốc mọi,Tournefopti montana Lour. ,Vòi voi Boraginales,Ngọc Lan,Boraginaceae Vòi voi ,Ngọc Lan Magnoliophyta,Thân gỗ,rừng,"lá, thân","thận, đau lưng",
255,Tía tô,Perilla frutescens (L.) Britton,Hoa môi Lamiales,Ngọc Lan,Lamiaceae Hoa môi  ,Ngọc Lan Magnoliophyta,Thân thảo,"ven đường, trảng cỏ, vườn nhà","quả, hạt, cành, lá","Giải nhiệt, lợi tiểu, an thai.",
256,Tiêu,Piper nigrum L.,Hồ tiêu Piperales,Ngọc Lan,Piperaceae Hồ tiêu ,Ngọc Lan Magnoliophyta,Dây leo,vườn nhà,hạt,"tiêu chảy, ho, phong thấp",
257,Tiêu Rừng,Piper Colubrinum link,Hồ tiêu Piperales,Ngọc Lan,Piperaceae Hồ tiêu ,Ngọc Lan Magnoliophyta,Dây leo,rừng,"dây, hạt","Kích thích tiêu hóa, giảmđau",
258,Tơ hồng,Cuscuta sinensis Lamk.,Khoai lang Convolvulales,Ngọc Lan,Convolvulaceae bìm bìm ,Ngọc Lan Magnoliophyta,Kí sinh,"ven đường, vườn nhà",Cả cây,"Dùng chữa thổ huyết, lỵ, ung nhọt, rôm sẩy...",
259,Tổ Kén ,Helicteres angustifolia L.,Bông Malvales,Ngọc Lan,Sterculiaceae Trôm ,Ngọc Lan Magnoliophyta,Thân bụi,ven suối,thân,"Chữa sốt rét, cảm mạo, viêm họng, tai, ỉa chảy, lỵ, viêm ruột, lở ngứa ngoài da, rắn cắn",
261,Tơ xanh,Cassytha filiformis L.,Long não Laurales,Ngọc lan,Lauraceae  Long não  ,Ngọc Lan Magnoliophyta,Bán kí sinh,"ven đường, trảng cỏ, vườn nhà","vỏ, thân","Thanh nhiệt, giải độc,ho do nóng phổi, mũi chảy máu, tiểu tiện ra máu, lở loét.",
262,Trắc bách diệp,Platycladus orientalis L.,Tùng Cyperales,Tùng,Cupressaceae Hoàng đàn,Thông Pinophyta,Thân gỗ, vườn nhà,Lá,"Cầm máu, giải độc",
263,Trầm hương,Aquilaria crassna Pierre ex Lecome,Trầm Thymelaeales,Ngọc lan,Thymelaeaceae Trầm ,Ngọc Lan Magnoliophyta,Thân gỗ,"Rừng, ","Quả, lá, cành, nhựa mủ.","Chữa nôn mửa, đau dạ dày",
264,Trâu cổ,Ficus pumila L. ,Gai Urticales,Ngọc lan,Moraceae Dâu tằm ,Ngọc Lan Magnoliophyta,Thân gỗ,rừng,"thân, lá","Tráng dương, thông sữa, đau lưng, lỵ lâu ngày, kinh nguyệt không đều, viêm tinh hoàn, phong thấp",
265,Tre- thiên trúc hoàng,Concretio Silicea Bambusae,Lúa Poales,Hành,Poaceae Lúa  ,Ngọc Lan Magnoliophyta,Thân bụi,"ven đường,  vườn nhà",lá,"Hen, ho, suyễn",
266,Trinh nữ hoàng cung,Crinum latifolium L.,Thủy tiên Amaryllidales,Hành,Amaryllidaceae Thuỷ tiên ,Ngọc Lan Magnoliophyta,Thân thảo,vườn nhà,Cả cây,"Điều trị một số dạng ung thư như ung thư phổi, ung thư tuyến tiền liệt, ung thư vú…",
71,Trúc đào,Nerium oleander L.,,Ngọc Lan,Apocynaceae Trúc đào ,Ngọc Lan Magnoliophyta,Thân gỗ,vườn nhà,Lá,"Chữa suy tim, khó thở",
267,trúc tiết,Homalocladium platycladum (F. Muelle ex Hook.) Bailey ,Rau răm Polygonales,Ngọc lan,Polygonaceae Rau răm ,Ngọc Lan Magnoliophyta,Thân gỗ,"ven đường, trảng cỏ, vườn nhà","Thân, lá",mụn nhọt và viêm mủ da (ung sang thũng độc) đòn ngã tổn thương rắn độc và rết cắn.,
268,Trứng ếch,Parthenium hysterophorus L.,Cúc Asterales ,Ngọc lan,Asteraceae Cúc ,Ngọc Lan Magnoliophyta,Dây leo,"Ven rừng, trảng cỏ, rừng trồng","thân mang lá, lá","ngoài da, đau nhức, làm săn da. ",
269,Vạn niên thanh lá sọc,Aglaonema costatum (Nutt.) N.E. Brown,Ráy Arales,Hành,Araceae Ráy  ,Ngọc Lan Magnoliophyta,Thân thảo,vườn nhà,Cả cây,"Rắn cắn, đau họng, trĩ, mụn nhọt, nhuận tràng",
270,Vàng đắng,Coscinium fenestratum (Gaertn.) Colebr.,Mao lương Ranunculales,Ngọc Lan,Menispermaceae Tiết dê ,Ngọc Lan Magnoliophyta,Dây leo,Rừng,"Thân, rễ","hạ nhiệt, chữa sốt rét, ỉa chảy",
271,Vối thuốc,Schima wallichii Choisy,Chè Theales,Ngọc lan,Theaceae Chè ,Ngọc Lan Magnoliophyta,thân gỗ,rừng,"Cành, lá","Làm thuốc ngủ, an thần, chữa cao huyết áp, chữa viêm phế quản mạn tính.",
272,Vòi voi,Heliotropium indicum L.,Vòi voi Boraginales,Ngọc lan,Boraginaceae Vòi voi ,Ngọc Lan Magnoliophyta,Thân thảo,"ven đường, trảng cỏ, vườn nhà","rễ, mủ","Trị ho, chống viêm, suyễn, ung thư.",
273,Vông nem,Erythrina variegata L.,Đậu Fabales,Ngọc Lan,Fabaceae Ðậu  ,Ngọc Lan Magnoliophyta,Thân gỗ,Rừng,"lá, vỏ thân","Chữa mất ngủ, an thần, hạ huyết áp, cảm sốt",
274,Vú Bò,Ficus heterophyllus L.,Gai Urticales,Ngọc lan,Moraceae Dâu tằm ,Ngọc Lan Magnoliophyta,Thân gỗ,Trảng cỏ,Cả cây,"Hư lao, tắc tia sữa, chữa phong thấp.",
275,Xá Xị ,Cinnamomum parthenoxylon Meissn.,Long não Laurales,Ngọc lan,Lauraceae  Long não  ,Ngọc Lan Magnoliophyta,Thân gỗ,Rừng,Cả cây,"Tinh dầu xoa bóp chữa đau do tê thấp, chữa đau bụng, viêm dạ dày, ruột, tiêu hoá kém,",
276,Xấu Hổ,Mimosa pudica L.,Đậu Fabales,Ngọc lan,Fabaceae Ðậu  ,Ngọc Lan Magnoliophyta,Thân thảo,"ven đường, trảng cỏ, vườn nhà",Cả cây,"Làm thuốc ngủ, an thần, chữa cao huyết áp, chữa viêm phế quản mạn tính, thấp khớp, đau lưng, nhức xương.",
277,Xích đồng nam,Clerodendrum kaempferi (Jacq.) Sieb. et Hassk.,Hoa môi Lamiales,Ngọc Lan,Verbenaceae Cỏ roi ngựa  ,Ngọc Lan Magnoliophyta,Thân bụi,"ven đường, trảng cỏ, vườn nhà",Vỏ thân và quả,"chữa khí hư, viêm tử cung, kinh nguyệt không đều, vàng da, mụn lở, huyết áp cao, đau khớp, xương",
278,Xoan nhừ,Choerospondias axillaris (Roxb.) Burtt et Hill,Cam Rutales,Ngọc Lan,Anacardiaceae Ðào lộn hột ,Ngọc Lan Magnoliophyta,Thân gỗ,Ven rừng,"Thân, lá","Trị tỳ vị hư yếu, ăn uống không tiêu đau bụng, ngoại thương xuất huyết, trị bỏng, mụn nhọt",
279,Xuân tiết,Justicia adhatoda L.,Hoa môi - Lamiales,Ngọc Lan,Acanthaceae Ô rô ,Ngọc Lan Magnoliophyta,Thân thảo,ven suối,Thân,"Trị ho, viêm phế quản mạn tính, hen suyễn, lao phổi, trị thấp khớp và làm thuốc sát trùng.",
280,Xuyên tâm liên,Andrographis paniculata (Burm.f.) Wall. ex Nees,Hoa môi - Lamiales,Ngọc Lan,Acanthaceae Ô rô ,Ngọc Lan Magnoliophyta,Thân bụi,"vườn nhà, rừng","Thân, lá","Chữa viêm họng, mụn nhọt, vết thương ngoài da",
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,0.1857142857,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,0.1571428571,,,,,,,,,
